Distance_m,Altitude_m,Distance_km,Altitude_ft
0.00,224.40,0.000,736.22
10.91,222.39,0.011,729.63
21.70,222.14,0.022,728.81
31.69,222.46,0.032,729.86
43.06,221.69,0.043,727.33
54.14,222.61,0.054,730.35
65.16,223.63,0.065,733.69
75.80,220.81,0.076,724.44
86.55,220.73,0.087,724.18
98.32,221.26,0.098,725.92
108.75,220.72,0.109,724.15
118.75,220.58,0.119,723.69
129.69,221.26,0.130,725.92
140.31,221.52,0.140,726.77
151.31,221.76,0.151,727.56
162.13,221.75,0.162,727.53
172.76,222.47,0.173,729.89
182.94,224.07,0.183,735.14
193.56,224.73,0.194,737.30
203.61,224.67,0.204,737.11
213.68,221.70,0.214,727.36
223.85,221.65,0.224,727.20
235.02,220.54,0.235,723.56
245.16,217.77,0.245,714.47
255.55,220.06,0.256,721.98
265.58,220.37,0.266,723.00
276.30,222.21,0.276,729.04
286.69,220.86,0.287,724.61
304.98,219.50,0.305,720.14
315.75,219.10,0.316,718.83
326.39,219.30,0.326,719.49
337.02,219.16,0.337,719.03
347.35,219.07,0.347,718.73
357.56,218.29,0.358,716.17
368.00,218.38,0.368,716.47
378.34,216.55,0.378,710.47
389.19,217.86,0.389,714.76
399.92,217.62,0.400,713.98
410.10,219.92,0.410,721.52
420.08,220.67,0.420,723.98
430.91,221.59,0.431,727.00
441.61,221.28,0.442,725.98
451.99,221.61,0.452,727.07
462.82,221.82,0.463,727.76
473.21,221.13,0.473,725.49
483.69,220.19,0.484,722.41
494.39,220.13,0.494,722.21
504.39,219.27,0.504,719.39
514.79,219.36,0.515,719.69
525.50,219.92,0.526,721.52
535.53,220.14,0.536,722.24
546.17,219.81,0.546,721.16
556.27,213.27,0.556,699.70
567.13,214.97,0.567,705.28
577.11,212.11,0.577,695.90
587.38,213.69,0.587,701.08
597.69,219.28,0.598,719.42
608.74,219.49,0.609,720.11
619.44,216.73,0.619,711.06
629.85,213.06,0.630,699.02
